speechID,session,nameOfHouse,nameOfMeeting,issue,date,year,speaker,speakerYomi,speakerGroup,speakerPosition,speakerRole,speechURL,meetingURL,pdfURL,keywords_matched,num_keywords,parties_canonical_str,has_joe_party
121305206X01620240426_093,213,衆議院,法務委員会,第16号,2024-04-26,2024,上林千恵子,,,法政大学名誉教授,参考人,https://kokkai.ndl.go.jp/txt/121305206X01620240426/93,https://kokkai.ndl.go.jp/txt/121305206X01620240426,https://kokkai.ndl.go.jp/img/121305206X01620240426/19,多文化共生,1,,False
121305206X01520240424_017,213,衆議院,法務委員会,第15号,2024-04-24,2024,豊嶋基暢,,,総務省大臣官房審議官,,https://kokkai.ndl.go.jp/txt/121305206X01520240424/17,https://kokkai.ndl.go.jp/txt/121305206X01520240424,https://kokkai.ndl.go.jp/img/121305206X01520240424/4,多文化共生,1,,False
121304601X01620240423_043,213,衆議院,総務委員会,第16号,2024-04-23,2024,松本剛明,まつもとたけあき,自由民主党・無所属の会,総務大臣,,https://kokkai.ndl.go.jp/txt/121304601X01620240423/43,https://kokkai.ndl.go.jp/txt/121304601X01620240423,https://kokkai.ndl.go.jp/img/121304601X01620240423/10,多文化共生,1,自由民主党;無所属の会,True
121304601X01620240423_049,213,衆議院,総務委員会,第16号,2024-04-23,2024,松本剛明,まつもとたけあき,自由民主党・無所属の会,総務大臣,,https://kokkai.ndl.go.jp/txt/121304601X01620240423/49,https://kokkai.ndl.go.jp/txt/121304601X01620240423,https://kokkai.ndl.go.jp/img/121304601X01620240423/11,多文化共生,1,自由民主党;無所属の会,True
121304889X01120240417_000,213,衆議院,内閣委員会,第11号,2024-04-17,2024,会議録情報,,,,,https://kokkai.ndl.go.jp/txt/121304889X01120240417/0,https://kokkai.ndl.go.jp/txt/121304889X01120240417,https://kokkai.ndl.go.jp/img/121304889X01120240417/1,多文化共生,1,,False
121303968X00620240405_041,213,衆議院,外務委員会,第6号,2024-04-05,2024,馬場成志,ばばせいし,自由民主党,総務副大臣,,https://kokkai.ndl.go.jp/txt/121303968X00620240405/41,https://kokkai.ndl.go.jp/txt/121303968X00620240405,https://kokkai.ndl.go.jp/img/121303968X00620240405/7,多文化共生,1,自由民主党,True
121303968X00520240403_103,213,衆議院,外務委員会,第5号,2024-04-03,2024,馬場成志,ばばせいし,自由民主党,総務副大臣,,https://kokkai.ndl.go.jp/txt/121303968X00520240403/103,https://kokkai.ndl.go.jp/txt/121303968X00520240403,https://kokkai.ndl.go.jp/img/121303968X00520240403/13,多文化共生,1,自由民主党,True
121315206X00220240322_288,213,参議院,法務委員会,第2号,2024-03-22,2024,石川大我,いしかわたいが,立憲民主・社民,,,https://kokkai.ndl.go.jp/txt/121315206X00220240322/288,https://kokkai.ndl.go.jp/txt/121315206X00220240322,https://kokkai.ndl.go.jp/img/121315206X00220240322/29,多文化共生,1,立憲民主党;社会民主党,True
121304889X00120240214_000,213,衆議院,内閣委員会,第1号,2024-02-14,2024,会議録情報,,,,,https://kokkai.ndl.go.jp/txt/121304889X00120240214/0,https://kokkai.ndl.go.jp/txt/121304889X00120240214,https://kokkai.ndl.go.jp/img/121304889X00120240214/1,多文化共生,1,,False
121204889X00120231101_000,212,衆議院,内閣委員会,第1号,2023-11-01,2023,会議録情報,,,,,https://kokkai.ndl.go.jp/txt/121204889X00120231101/0,https://kokkai.ndl.go.jp/txt/121204889X00120231101,https://kokkai.ndl.go.jp/img/121204889X00120231101/1,多文化共生,1,,False
121215254X00420231026_017,212,参議院,本会議,第4号,2023-10-26,2023,岸田文雄,きしだふみお,自由民主党・無所属の会,内閣総理大臣,,https://kokkai.ndl.go.jp/txt/121215254X00420231026/17,https://kokkai.ndl.go.jp/txt/121215254X00420231026,https://kokkai.ndl.go.jp/img/121215254X00420231026/23,多文化共生,1,自由民主党;無所属の会,True
121115359X00720230619_024,211,参議院,政府開発援助等及び沖縄・北方問題に関する特別委員会,第7号,2023-06-19,2023,山田順一,,,独立行政法人国際協力機構副理事長,参考人,https://kokkai.ndl.go.jp/txt/121115359X00720230619/24,https://kokkai.ndl.go.jp/txt/121115359X00720230619,https://kokkai.ndl.go.jp/img/121115359X00720230619/5,多文化共生,1,,False
