period,period_date,pref_code,prefecture,status_code,residence_status,n_residents,is_unknown_pref
2016-12,2016-12-31,14,神奈川県,16,技術・人文知識・国際業務,17826,False
2016-12,2016-12-31,14,神奈川県,17,企業内転勤,2454,False
2016-12,2016-12-31,14,神奈川県,19,興行,188,False
2016-12,2016-12-31,14,神奈川県,20,技能,3850,False
2016-12,2016-12-31,14,神奈川県,23,技能実習１号イ,419,False
2016-12,2016-12-31,14,神奈川県,24,技能実習１号ロ,2916,False
2016-12,2016-12-31,14,神奈川県,25,技能実習２号イ,65,False
2016-12,2016-12-31,14,神奈川県,26,技能実習２号ロ,3246,False
2016-12,2016-12-31,14,神奈川県,29,文化活動,230,False
2016-12,2016-12-31,14,神奈川県,31,留学,14968,False
2016-12,2016-12-31,14,神奈川県,32,研修,76,False
2016-12,2016-12-31,14,神奈川県,33,家族滞在,16384,False
2016-12,2016-12-31,14,神奈川県,34,特定活動,2985,False
2016-12,2016-12-31,14,神奈川県,35,永住者,74742,False
2016-12,2016-12-31,14,神奈川県,36,日本人の配偶者等,12884,False
2016-12,2016-12-31,14,神奈川県,37,永住者の配偶者等,3755,False
2016-12,2016-12-31,14,神奈川県,38,定住者,12968,False
2016-12,2016-12-31,14,神奈川県,39,特別永住者,17847,False
2016-12,2016-12-31,15,新潟県,03,教授,65,False
2016-12,2016-12-31,15,新潟県,05,宗教,17,False
2016-12,2016-12-31,15,新潟県,07,高度専門職１号イ,4,False
2016-12,2016-12-31,15,新潟県,11,経営・管理,95,False
2016-12,2016-12-31,15,新潟県,14,研究,6,False
2016-12,2016-12-31,15,新潟県,15,教育,126,False
2016-12,2016-12-31,15,新潟県,16,技術・人文知識・国際業務,564,False
2016-12,2016-12-31,15,新潟県,17,企業内転勤,108,False
2016-12,2016-12-31,15,新潟県,19,興行,9,False
2016-12,2016-12-31,15,新潟県,20,技能,174,False
2016-12,2016-12-31,15,新潟県,23,技能実習１号イ,72,False
2016-12,2016-12-31,15,新潟県,24,技能実習１号ロ,1005,False
