period,period_date,pref_code,prefecture,n_residents
2024-06,2024-06-30,20,長野県,44834
2024-06,2024-06-30,21,岐阜県,71617
2024-06,2024-06-30,22,静岡県,120314
2024-06,2024-06-30,23,愛知県,321041
2024-06,2024-06-30,24,三重県,66509
2024-06,2024-06-30,25,滋賀県,41490
2024-06,2024-06-30,26,京都府,79617
2024-06,2024-06-30,27,大阪府,317421
2024-06,2024-06-30,28,兵庫県,137044
2024-06,2024-06-30,29,奈良県,18320
2024-06,2024-06-30,30,和歌山県,9572
2024-06,2024-06-30,31,鳥取県,5864
2024-06,2024-06-30,32,島根県,10686
2024-06,2024-06-30,33,岡山県,37129
2024-06,2024-06-30,34,広島県,64419
2024-06,2024-06-30,35,山口県,20649
2024-06,2024-06-30,36,徳島県,8321
2024-06,2024-06-30,37,香川県,18415
2024-06,2024-06-30,38,愛媛県,17439
2024-06,2024-06-30,39,高知県,6379
2024-06,2024-06-30,40,福岡県,105049
2024-06,2024-06-30,41,佐賀県,10378
2024-06,2024-06-30,42,長崎県,14277
2024-06,2024-06-30,43,熊本県,27407
2024-06,2024-06-30,44,大分県,18954
2024-06,2024-06-30,45,宮崎県,10494
2024-06,2024-06-30,46,鹿児島県,17358
2024-06,2024-06-30,47,沖縄県,26996
2024-12,2024-12-31,01,北海道,67484
2024-12,2024-12-31,02,青森県,8603
2024-12,2024-12-31,03,岩手県,11366
2024-12,2024-12-31,04,宮城県,29878
2024-12,2024-12-31,05,秋田県,5851
2024-12,2024-12-31,06,山形県,10535
2024-12,2024-12-31,07,福島県,20022
2024-12,2024-12-31,08,茨城県,102549
2024-12,2024-12-31,09,栃木県,56983
2024-12,2024-12-31,10,群馬県,83430
2024-12,2024-12-31,11,埼玉県,262382
2024-12,2024-12-31,12,千葉県,231614
2024-12,2024-12-31,13,東京都,738946
2024-12,2024-12-31,14,神奈川県,292450
2024-12,2024-12-31,15,新潟県,24283
2024-12,2024-12-31,16,富山県,24314
2024-12,2024-12-31,17,石川県,21151
2024-12,2024-12-31,18,福井県,19898
2024-12,2024-12-31,19,山梨県,23691
2024-12,2024-12-31,20,長野県,46850
2024-12,2024-12-31,21,岐阜県,74750
2024-12,2024-12-31,22,静岡県,124281
2024-12,2024-12-31,23,愛知県,331733
2024-12,2024-12-31,24,三重県,68804
2024-12,2024-12-31,25,滋賀県,42960
2024-12,2024-12-31,26,京都府,83914
2024-12,2024-12-31,27,大阪府,333564
2024-12,2024-12-31,28,兵庫県,142676
2024-12,2024-12-31,29,奈良県,19257
2024-12,2024-12-31,30,和歌山県,10144
2024-12,2024-12-31,31,鳥取県,6068
2024-12,2024-12-31,32,島根県,11089
2024-12,2024-12-31,33,岡山県,38886
2024-12,2024-12-31,34,広島県,67837
2024-12,2024-12-31,35,山口県,21581
2024-12,2024-12-31,36,徳島県,8907
2024-12,2024-12-31,37,香川県,19607
2024-12,2024-12-31,38,愛媛県,18687
2024-12,2024-12-31,39,高知県,6848
2024-12,2024-12-31,40,福岡県,113159
2024-12,2024-12-31,41,佐賀県,11358
2024-12,2024-12-31,42,長崎県,15692
2024-12,2024-12-31,43,熊本県,29385
2024-12,2024-12-31,44,大分県,20330
2024-12,2024-12-31,45,宮崎県,11511
2024-12,2024-12-31,46,鹿児島県,18972
2024-12,2024-12-31,47,沖縄県,29384
2025-06,2025-06-30,01,北海道,69620
2025-06,2025-06-30,02,青森県,8949
2025-06,2025-06-30,03,岩手県,11775
2025-06,2025-06-30,04,宮城県,31041
2025-06,2025-06-30,05,秋田県,6097
2025-06,2025-06-30,06,山形県,10753
2025-06,2025-06-30,07,福島県,20708
2025-06,2025-06-30,08,茨城県,106490
2025-06,2025-06-30,09,栃木県,59809
2025-06,2025-06-30,10,群馬県,87299
2025-06,2025-06-30,11,埼玉県,277209
2025-06,2025-06-30,12,千葉県,247580
2025-06,2025-06-30,13,東京都,775340
2025-06,2025-06-30,14,神奈川県,306363
2025-06,2025-06-30,15,新潟県,24737
2025-06,2025-06-30,16,富山県,25311
2025-06,2025-06-30,17,石川県,22294
2025-06,2025-06-30,18,福井県,20783
2025-06,2025-06-30,19,山梨県,24392
2025-06,2025-06-30,20,長野県,48288
2025-06,2025-06-30,21,岐阜県,77301
2025-06,2025-06-30,22,静岡県,128311
2025-06,2025-06-30,23,愛知県,345900
