election_id,election_year,election_date,election_type,pref_code,prefecture,share_公明党,share_参政党,share_国民民主党,share_希望の党,share_日本共産党,share_日本維新の会,share_次世代の党,share_民主党,share_民進党,share_立憲民主党,share_維新の党,share_自由民主党,treat_period,foreign_total,foreign_growth_yoy,by_status_intern_low_skill,by_status_long_term,by_status_other,by_status_other_work,by_status_permanent,by_status_skilled_specialist,by_status_specified_skilled,by_status_spouse_japanese,by_status_student
2017_shugiin,2017,2017-10-22,shugiin_pr,03,岩手県,9.368179030218716,,,25.429260653990728,9.183830810823777,2.5681968482622266,,,,20.65162641045234,,32.798906246252216,2016-12,6275,,0.0,156.0,4919.0,17.0,424.0,342.0,4.0,322.0,91.0
2017_shugiin,2017,2017-10-22,shugiin_pr,04,宮城県,12.363877104331612,,,16.998031557439237,7.7565367051140015,3.963283453650141,,,,22.63937591848528,,36.27889526097973,2016-12,19314,,0.0,1288.0,10755.0,88.0,975.0,1278.0,59.0,4645.0,226.0
2017_shugiin,2017,2017-10-22,shugiin_pr,05,秋田県,10.998603490874945,,,26.977293796077838,5.972762104073748,2.7757110857361114,,,,13.765760460887796,,39.50986906234956,2016-12,3695,,0.0,143.0,2639.0,5.0,225.0,237.0,3.0,375.0,68.0
2017_shugiin,2017,2017-10-22,shugiin_pr,06,山形県,12.50505165091497,,,25.947406110193345,6.053650305226066,2.9907545925710597,,,,16.686932353962977,,35.816204987131584,2016-12,6378,,0.0,181.0,5003.0,15.0,430.0,353.0,11.0,312.0,73.0
2017_shugiin,2017,2017-10-22,shugiin_pr,07,福島県,11.865441191197974,,,23.448352241331165,8.144596993964129,3.41404332678652,,,,19.893397301236277,,33.23416894548394,2016-12,12068,,0.0,363.0,8790.0,52.0,1070.0,834.0,7.0,780.0,172.0
2017_shugiin,2017,2017-10-22,shugiin_pr,08,茨城県,13.88527904122446,,,21.217535983617854,6.18014124349407,2.871797901037667,,,,19.054498854693787,,36.79074697593216,2016-12,58182,,0.0,3229.0,41457.0,324.0,4104.0,3615.0,143.0,4444.0,866.0
2017_shugiin,2017,2017-10-22,shugiin_pr,09,栃木県,11.746161844761147,,,22.697902012355495,5.1568903296837725,3.1953024649825674,,,,21.356780231206802,,35.84696311701022,2016-12,36654,,0.0,1668.0,26493.0,415.0,2534.0,2335.0,9.0,2819.0,381.0
2017_shugiin,2017,2017-10-22,shugiin_pr,10,群馬県,12.486330734387035,,,19.764686577362838,7.642053212476411,3.227967225601356,,,,19.829098973442743,,37.04986327672961,2016-12,50220,,0.0,2069.0,38922.0,148.0,3475.0,2959.0,9.0,2075.0,563.0
2017_shugiin,2017,2017-10-22,shugiin_pr,11,埼玉県,13.722349256357221,,,18.03358390980825,8.86687670033254,3.8006911124464673,,,,24.61154510179313,,30.964953919262395,2016-12,152486,,0.0,13073.0,94263.0,616.0,9912.0,15303.0,83.0,16371.0,2865.0
2017_shugiin,2017,2017-10-22,shugiin_pr,12,千葉県,12.314100307335128,,,17.597156277851255,7.960820321544223,4.002730810584508,,,,23.201621676482993,,34.923570606201885,2016-12,133071,,0.0,10898.0,78993.0,857.0,9887.0,13811.0,83.0,16248.0,2294.0
