speaker,speaker_yomi,canonical_house,canonical_party,canonical_position,n_speeches,first_date,last_date,wikipedia_title,district_prefecture,district_block,status,source,notes
西村秀隆,,衆議院,,経済産業省大臣官房審議官,1,2024-02-28,2024-02-28,西村秀隆,,,no_district,,
田辺康彦,,参議院,,内閣府大臣官房審議官,1,2024-02-21,2024-02-21,田辺康彦,,,no_district,,
金子道仁,かねこみちひと,参議院,日本維新の会,,1,2023-11-29,2023-11-29,金子道仁,全国,比例区,ok,wikipedia,
林佑美,はやしゆみ,衆議院,日本維新の会,,1,2023-11-24,2023-11-24,林佑美,全国,比例区,ok,wikipedia,
羽田次郎,はたじろう,参議院,立憲民主・社民,,1,2023-11-09,2023-11-09,羽田次郎,長野県,,ok,wikipedia,
舩後靖彦,ふなごやすひこ,参議院,れいわ新選組,,1,2023-05-25,2023-05-25,舩後靖彦,全国,比例区,ok,wikipedia,
高木真理,たかぎまり,参議院,立憲民主・社民,,1,2023-04-20,2023-04-20,高木真理,埼玉県,,ok,wikipedia,
松尾浩則,,衆議院,,農林水産省大臣官房審議官,1,2022-11-02,2022-11-02,松尾浩則,,,no_district,,
吉川ゆうみ,よしかわゆうみ,参議院,自由民主党・国民の声,経済産業大臣政務官・内閣府大臣政務官,1,2022-05-19,2022-05-19,吉川有美,三重県,,ok,wikipedia,
大西宏幸,おおにしひろゆき,衆議院,自由民主党・無所属の会,,1,2020-02-25,2020-02-25,大西宏幸,大阪府,第1区,ok,wikipedia,
小島敏文,こじまとしふみ,衆議院,自由民主党,,1,2019-05-09,2019-05-09,小島敏文,全国,比例区,ok,wikipedia,
平井卓也,ひらいたくや,衆議院,自由民主党,内閣府特命担当大臣（クールジャパン戦略・知的財産戦略・科学技術政策・宇宙政策）,1,2019-04-26,2019-04-26,平井卓也,全国,比例区,ok,wikipedia,
眞鍋純,,参議院,,国土交通大臣官房審議官,1,2019-03-12,2019-03-12,眞鍋純,,,no_district,,
篠原豪,しのはらごう,衆議院,立憲民主党・市民クラブ,,1,2018-12-03,2018-12-03,篠原豪,神奈川県,第1区,ok,wikipedia,
長坂康正,ながさかやすまさ,衆議院,自由民主党,内閣府大臣政務官・復興大臣政務官,1,2018-05-25,2018-05-25,長坂康正,愛知県,第9区,ok,wikipedia,
浜野喜史,はまのよしふみ,参議院,国民民主党・新緑風会,,1,2018-05-09,2018-05-09,浜野喜史,全国,比例区,ok,wikipedia,
小林一久,,衆議院,,経済産業省大臣官房審議官,1,2018-02-23,2018-02-23,小林一久,,,no_district,,
橘慶一郎,たちばなけいいちろう,衆議院,自由民主党,,1,2017-12-05,2017-12-05,橘慶一郎,富山県,第3区,ok,wikipedia,
木原亜紀生,,衆議院,,国土交通省大臣官房審議官,1,2016-12-12,2016-12-12,木原亜紀生,,,no_district,,
小沢鋭仁,おざわさきひと,衆議院,日本維新の会,,1,2016-10-21,2016-10-21,小沢鋭仁,全国,比例区,ok,wikipedia,
中川俊直,なかがわとしなお,参議院,自由民主党・無所属の会,経済産業大臣政務官,1,2016-10-20,2016-10-20,中川俊直,広島県,第4区,ok,wikipedia,
石原伸晃,いしはらのぶてる,衆議院,自由民主党,内閣府特命担当大臣（経済財政政策）,1,2016-04-01,2016-04-01,石原伸晃,東京都,第8区,ok,wikipedia,
寺澤達也,,衆議院,,経済産業省大臣官房商務流通保安審議官,1,2015-07-03,2015-07-03,寺澤達也,,,no_district,,
小川誠,,衆議院,,経済産業省大臣官房審議官,1,2014-05-28,2014-05-28,小川誠,,,no_district,,
坂元大輔,さかもとだいすけ,衆議院,日本維新の会,,1,2014-04-18,2014-04-18,坂元大輔,全国,比例区,ok,wikipedia,
佐々木則夫,,衆議院,,一般社団法人日本経済団体連合会副会長・税制委員長,1,2013-11-12,2013-11-12,佐々木則夫,,,no_district,,
牧野聖修,まきのせいしゅう,参議院,民主党・無所属クラブ,経済産業副大臣,1,2012-02-29,2012-02-29,牧野聖修,静岡県,第1区,ok,wikipedia,
島田洋一,しまだよういち,衆議院,日本保守党,,1,2024-12-18,2024-12-18,島田洋一,全国,比例区,ok,wikipedia,
三橋一彦,,衆議院,,総務省大臣官房審議官,1,2022-12-22,2022-12-22,三橋一彦,,,no_district,,
大坪寛子,,参議院,,厚生労働省大臣官房審議官,1,2021-03-16,2021-03-16,大坪寛子,,,no_district,,
高木啓,たかぎけい,衆議院,自由民主党・無所属の会,,1,2021-02-26,2021-02-26,高木啓,東京都,第12区,ok,wikipedia,
黒田岳士,,衆議院,,内閣府大臣官房審議官,1,2020-04-14,2020-04-14,黒田岳士,,,no_district,,
酒井庸行,さかいやすゆき,参議院,自由民主党・こころ,,1,2017-06-02,2017-06-02,酒井庸行,愛知県,,ok,wikipedia,
西田昌司,にしだしょうじ,参議院,自由民主党,,1,2016-04-19,2016-04-19,西田昌司,京都府,,ok,wikipedia,
水野賢一,みずのけんいち,参議院,民主党・新緑風会,,1,2016-01-15,2016-01-15,水野賢一,千葉県,,ok,wikipedia,
神田裕二,,衆議院,,厚生労働省大臣官房審議官,1,2013-11-20,2013-11-20,神田裕二,,,no_district,,
小池政就,こいけまさなり,衆議院,みんなの党,,1,2013-04-11,2013-04-11,小池政就,全国,比例区,ok,wikipedia,
豊嶋基暢,,衆議院,,総務省大臣官房審議官,1,2024-04-24,2024-04-24,豊嶋基暢,,,no_district,,
神田憲次,かんだけんじ,衆議院,自由民主党,,1,2022-12-10,2022-12-10,神田憲次,愛知5区,,ok,wikipedia,
伊藤岳,いとうがく,参議院,日本共産党,,1,2022-04-21,2022-04-21,伊藤岳,埼玉県,,ok,wikipedia,
武田良太,たけだりょうた,参議院,自由民主党・無所属の会,総務大臣,1,2020-11-30,2020-11-30,武田良太,福岡県,第11区,ok,wikipedia,
堀越啓仁,ほりこしけいにん,衆議院,立憲民主党・社民・無所属,,1,2020-11-17,2020-11-17,堀越啓仁,全国,比例区,ok,wikipedia,
山川百合子,やまかわゆりこ,衆議院,立憲民主・国民・社保・無所属フォーラム,,1,2019-10-23,2019-10-23,山川百合子,全国,比例区,ok,wikipedia,
水落敏栄,みずおちとしえい,参議院,自由民主党・国民の声,,1,2019-05-24,2019-05-24,水落敏栄,全国,比例区,ok,wikipedia,
宮川典子,みやがわのりこ,衆議院,自由民主党,,1,2018-11-28,2018-11-28,宮川典子,全国,比例区,ok,wikipedia,
